,Rating,Title,Date,Helpful_Vote,Total_Vote,Review,Movie
0,10.0,Fantastic...but possibly overwhelming.,26 March 2019,54,71,"""Spider-Man: Into the Spider-Verse"" is a fantastic film but might be a bit overwhelming for some viewers. It's filled with blaring hip-hop music and the animation is beyond splashy...it's competely intense! Now these are NOT criticisms...more a warning if you hate these sorts of things or if you or someone you loves has challenges, such as Autism....as the film might really be overwhelming. Still, I'm nearly 55 and loved the picture...and I think most will if they have an open mind and want something different. That DOES strongly apply to me, as I've gotten sick of superhero movies because there have been so many recently and there's a certain sameness about them...but not this Spider-Man film!

The story is told with breathtaking CGI--with a look that is nothing like any other film I've ever seen. In this world is a young man who sees Spider-Man killed and is also bitten by a spider and becomes the next incarnation of Spider-Man. But instead of taking the time to enjoy and learn about his new powers, this young man finds himself in the middle of a weird apocalyptic occurance---and all the various incarnations from the various universes come together to save the day.

Overall, amazingly creative...there's nothing else like it. This is more than reason enough to see it. Sadly, however, the film loses a bit on home TVs...even big ones as the scale and size of the film needs the big screen.",Spider-Man: Into the Spider-Verse
1,8.0,How on God's green Earth did this work so well???,21 December 2018,198,279,"The worlds of superhero movies and superhero comics are not as similar as they seem on the surface. Currently, film studios are all about the ""extended universe"", seeing how many different titles and characters they can shove into one franchise (Avengers, X-Men, Justice League), making for an easy way to squeeze a few extra bucks out of their lesser known properties. Comics have this as well, of course. However, they also have something modern movies haven't really tapped into yet: story one-offs, a chance for a storyteller to create a unique tale and not be constrained by the implications on or from the larger universe. Spider-Verse gets to do just that, while playfully taking on the fun (if convoluted) absurdity of extended superhero universes. Listen, I hear you. ""How could we possibly need another Spider-Man movie?"" Spider-Verse understands that question and has a take on it. Yes, Peter Parker is here. In fact, there are two Peter Parkers. There's also a Spider-Woman, a Noir Spider-Man, an anime Spider-Girl/Robot, and a Spider-Pig. At the center though is Miles Morales, an Afro-Hispanic Brooklyn teen who must help these other Spider-People get back to their own planes of existence. He fights with his cop dad, he adores his shady uncle, hates being simply the smartest kid in the room, and just wants to do something that matters. Being Spider-Man wasn't his idea, but hey, when a radioactive spider gives you powers, what choice do you have? Look, I don't have any sort of hot take on this movie. It looks great, the humor pops with surprises, the voice casting is beyond perfect. It's simply a stylishly exciting and refreshingly unique take on the superhero genre, and sometimes that's more than enough.",Spider-Man: Into the Spider-Verse
2,10.0,Stan Lee Is Smiling Right Now,17 December 2018,773,947,"A movie worthy of Stan Lee's approval. Incredible animation, great story, great message. This film lives up to the hype and honestly surpassed my expectations. The only reason I think there are some negative reviews is because you can never please everyone. However, for the vast majority of viewers, I believe you'll find this film to be great. Highly recommend seeing it in theaters just for the amazing animation style.",Spider-Man: Into the Spider-Verse
3,10.0,So Much More Than I Expected!,19 November 2019,38,50,"So many have commented, so I will be brief. From an intriguing plot to wonderful characterizations using drop dead animation, this film works. About ten minutes into it it thought, ""This is just a kind of hip hop version of Spiderman."" But the main character is suddenly thrust into a world which he must learn quickly to manage. The canon takes a turn here toward incredible creativity. I avoid mainstream animation, but this has restored my faith.",Spider-Man: Into the Spider-Verse
4,10.0,Game Changer,21 December 2018,373,517,"Have you ever sat through a film and you knew that films would never be the same going forward? For example, Terminator 2, Star Wars.. the first Toy Story... Iron Man

Well this is one of those. This is a almost rather perfect film. Let me just say the the stylished animation is just top notch. It as if the comic book leaped off the pages. I've seen practically all super hero films to include the DC animated ones. This feels as if they took comic books and Playstation animation and just came up with this perfect look.

And the story is great.. the pacing is so wonderful. It is able to tell the story.. and an origin without boring us to tears like Zack Snyder has done in the DC universe. The story is quiet touching. And it allows us to have a pretty interesting Spider Man in Miles WITHOUT thrashing or having a Peter Parker like experience.

Plus our the villains are so well done..

But I think we will see a lot more of this type of animation in the future from Sony. I think they announced their presence with authority.. like how Dreamworks did with Shrek.. and how Pixar did.

It's been awhile I seen something so unexpected and so cool.",Spider-Man: Into the Spider-Verse
5,10.0,the most visually stunning film I've ever seen,20 December 2018,578,737,"There's hardly anything I would improve about this film. The visuals, concepts, soundtrack, characters, pace, humor and animation are all some of the best I've ever seen in any film; I was worried the hype would ruin it for me, as it always does, but not even the group of kids in the theater who wouldn't stop loudly talking could ruin it for me. It is visually engaging and beautiful in every scene, not to mention with an incredibly unique art style, and is honestly something other animated movies should have to look up to for a long time. The only real issue I can think of is the flashing lights, which really alienates any epileptic audience, but even then it's done so in a beautiful and artful way.",Spider-Man: Into the Spider-Verse
6,10.0,The best comic book movie I've ever seen,26 December 2018,36,52,"The thing I hate about superhero movies is the origin story. After a multitude of Spider-Man stories, do we really need another retelling of his origin? That's the first - of many - things that Spider-Man: Into the Spider-Verse does right. Much like how Grant Morrison retold Superman's beginnings in one page in All-Star Superman, this movie tells you everything you need to know within one minute and goes right into the action. It expects you to know the expected, but then once it makes you feel comfortable, it tears the rug out from under you.

Here's the low down for those of you that don't read comics: there's more than one reality and more than one version of Spider-Man, who may not always be a man. Written by Phil Lord and Christopher Miller, who left Solo due to creative differences, this movie is pure joy from start to finish. If you know and love the characters, it's so amazing to see them treated properly on the big screen. And if you don't, it's so much fun to meet all new versions of a character you already love.

Beyond the Spidey you know and love, there's Miles Morales, a gifted teen who struggles to fit into a new school. He loves Spider-Man, is often at odds with his parents and looks up to his uncle Aaron. While working on graffiti, he's bit by a radioactive spider and suddenly has the same abilities as his hero.

After a tragic incident when the real Spidey battles the Kingpin as that baddy tries to uses a particle accelerator to bring back his lost wife and son, Miles must take on the mantle of a hero while working alongside the Spiders of other dimensions: Spider-Gwen, Spider-Man Noir, Peter Porker the Spectacular Spider-Ham, and Peni Parker and SP//dr.

The voice talent in this movie is absolutely amazing: Lily Tomlin is the best Aunt May ever, Nicholas Cage steals the show as Spider-Man Noir, who is from a world where it's always black and white and smells like rain and it was great to hear comedian John Mulaney as Spider-Ham.

There's so much of this movie that perfectly translates the language of comics in a way that few films have succeeded in accomplishing. Ang Lee's The Hulk came close, but the animated styles of this film are constantly moving and even more alive than real action.

It's also the first time I've seen a teenage world in a superhero movie that feels vibrant and now. Nothing feels fake, phony or forced about the school scenes. And the music is just as powerful as the film.

Of all the Stan Lee cameos in the Marvel films, the one here feels the most organic and perfect. It brought a tear to my eye when he sold Miles the costume and told him that all the costumes eventually fit. Kudos to the producers for remembering both Lee and Steve Ditko at the film's end.

In case you didn't pick it up, I give this movie my highest recommendation. While Infinity War may be the best Marvel movie ever, you need to have seen every single Marvel movie ever to get that. This is the kind of film that Becca could watch and enjoy without needing to open a single comic, which is just how she likes it. It's not only the best animated movie I've seen this year, it may be the best movie overall.",Spider-Man: Into the Spider-Verse
7,10.0,A Spidey Movie That Works In Multiple Dimensions,14 December 2018,409,567,Visually stunning. Great storyline. Great cast. Amazing soundtrack. Tear jerking cameo. Pop culture post credit scene of the decade. Thank you Marvel and Sony for making a Spidey movie everyone can love.,Spider-Man: Into the Spider-Verse
8,10.0,"The better the art, the harder it is to find the right words to describe it.",21 December 2018,438,580,"Updated review 4-9-19

I've now watched this movie 10 times since getting it on digital and then Blu-ray and can safely say this is a rare, near perfect movie. This is of course my opinion and I understand why this movie isn't for everyone. Let's break down a few of the reasons why for each of these points.

If we had a list of everything that can be done to make a near perfect movie, this movie checks every box. The visuals have been talked about endlessly. It won an Oscar for them. We know they're great.

The story is great, giving us a new Spider-Man with his own skills and personality that he brings to the table. The script is tight and the production is executed with laser precision.

The voice acting is nothing short of top notch. This is easily the second best thing about this movie right behind the glorious visuals.

Shamiek Moore has quickly grown on me over the ten times I've watched this movie. His range is as good as any veteran actor and he injects so much life into Miles Morales. He IS Miles Morales.

Chris Pine did not phone in the short amount of lines he had whatsoever. Just superb casting because he and Jake Johnson sound pretty similar. And oh boy, Jake Johnson.

I never understood why JJ had gotten so wildly popular over the last several years. With this movie I finally understand. I get it. It clicked. From the moment he pops up in this movie around the 20 minute mark till the end, Jake turns in one of the voice acting performances perhaps of all time. He succeeds in bringing a past his prime Peter Parker to life and runs the gamut of dramatic, sincere, intense, but above all FUNNY. Every single comedic line never fails to make me laugh out loud. Many of the gags pop into my head while I'm working or doing something else and I'll chuckle and repeat the line to myself.

I've always enjoyed Hailee Steinfeld and she shines in this movie along with all the supporting cast.

The greatest thing about this movie also happens to be its weakness. For me, the visuals are second to none. Another review title summed it up perfectly. ""The most visually stunning movie I've ever seen"". Absolutely agree. And while it takes a little time - usually 10-15 minutes - for your eyes to adjust to the frame rate, some people apparently can not adjust to this. I can imagine how poor that viewing experience would be, too bad really. Another thing is since they didn't use actual motion blur, but instead chose to animate blur-like artifacts and tricks to make it seem like blur, or having images doubled and overlapped for a ghosting effect, it confuses some people into thinking they're seeing the 2 images of the 3D version without the glasses. And lastly, the sheer intensity of some of the rapid action sequences combined with visual aesthetic pushed just beyond the breaking point and then dialed ever so slightly back by the direction team, it's just simply too much for some people. I get that.

As far as continuity/plot holes and things of that nature, I think the movie could actually stand to be about 15-20 minutes longer. There really aren't many issues though so maybe this is just me being greedy for more visuals.

Original review: Sure, we can dissect and critique and praise using any number of words we choose, but in the end to actually appreciate truly great art, it simply must be experienced in the medium in which it was created. For this movie, it was lovingly crafted in 3D, and so in my opinion can only be fully realized by the viewer in 3D.

What is a comic book movie, and what makes it great? From the original Superman where we first saw a comic book hero fly, to Burton's dark and stylized Batman, to the graphic novel style Sin City, live action ensemble X-MEN, Spider-Man, Iron-Man, The Dark Knight, the entire MCU....all of these are comic book movies, and depending on your personal definition probably range from good to great. And they're all live action with varying degrees of special effects, and some with animation. If you had to pick ones that 'feel the most like a comic book', you'd probably pick Sin City for the overall look, and the phase 3 MCU films for a combination of visuals and capturing the tone and spirit of the comic book story arcs.

But they aren't literally animated comics. The closest to that would probably be the animated movies, right? Like Mask of the Phantasm or any number of the Marvel animated movies. But again those are really 'just cartoons', and I don't mean that in a bad way. They're simply cartoon versions of comic books.

Spider-Man: Into The Spider-Verse is quite literally an animated comic book, and yet it is so much more at the same time. It's an explosion of comic book ink and paper, a dizzying palette of superbly rich colors, a jaw dropping display of digital artistry melded with living, breathing characters we care about, a story that is perfectly derived from the very medium in which it is being created and yet not for one single moment ever feels forced or hollow, a soundtrack fused with an endless exploration of a massive city, staggeringly sized scientific chambers, gigantic forests, and neon-electric-digital-dreamscapes of action set pieces that whir and click and come to life exactly as they do in the minds of children reading them on paper.

This movie is breathtakingly good in every aspect. Like-I'm-questioning-my-sanity-is-it-really-as-good-as-I-think-it-is!?!? Yes. Yes yes yes.

Remember the old Sega game Comix Zone? And how it was like ""oh wow! It's a comic book come to life!""? This is like that, with modern technology, cranked up a thousand times.

But here's the most important part - *it was all done in the right way, by the right people, at the right time*. It feels like this project was greenlit and handed to the very people who created comic books themselves with a ""here ya go, you have full creative control. Oh and by the way you have an unlimited budget! And resources! Have as much fun making a great movie as you possibly can!""

My first job was working in a movie theater. I took full advantage of being able to see free movies. I've built a decent surround sound system with all the creature comforts and have a growing library of movies. From the re-release of the original Star Wars trilogy, to each of the prequels and to the ongoing trilogy today, T-2, Titanic, the original X-Men, Avatar, The Dark Knight, Avengers, Avengers: Infinity War and so many more...I've gone to many, many big movie theater events for the experience. And I can safely say hands down that Spider-Man: Into the Spider-Verse in 3D is the best moviegoing experience I have ever had. It's that great.",Spider-Man: Into the Spider-Verse
9,10.0,Captures Your Attention From The Get Go!,12 December 2018,117,210,"What would you do if you could be a superhero? What if you have no choice? From the very beginning, Spider-Man: Into the Spicer-Verse is very energetic and captures your attention. This animated film has impressive visuals. The music creates a fantastic rhythm. And you just want to watch more.

The story follows a high school student named Miles Morales, who just changed school. He goes into an abandoned subway station with his uncle Erin and gets bitten by a radioactive spider. Ever since that day, Miles starts sticking to everything he touches. Then, he meets Spider-Man (Peter Parker), teams up with some friends from the same dimension and they attempt to save the world from the villain Kingoin.

The story is very original and makes the impossible possible. It takes all the abilities of Spider-Man to far and beyond with its action scenes. The film also shows a very real family atmosphere and the humor is smart. I love the non-traditional characters and how they embrace diversity. And yes! Spider-Man is Latino and surely does speak Spanish! There are also some fun new characters.

With this film, Marvel has created a film that celebrates comics, film and visual arts. Of course, it celebrates Spider-Man and makes this super hero relevant and contemporary. It is absolutely eye-poppingly beautiful and really pushes the boundaries of the genre with its colors, textures and camera movements. There are several different forms of animation in one film. You feel as if you are actually reading a comic book or the comic book is coming to life.

Naturally, the film does a very touching tribute to genius Stan Lee. I feel the filmmakers took some risks bringing new ideas to this iconic character which as been adored for over 50 years. The result is a must-see family movie that is even more appealing to new generations. I also love how this film is animated. It's so different. I've never seen a film like this one. I think it's very unique. Be sure to stay after the credits to see something very special, including another set of credits at the very end.

This film sets a new era in animated movies. I recommend it for ages 5 to 18, as well as adults. I give it 5 out of 5 stars and include it in my Oscar predictions as a very possible winner. This is the film parents will love their kids to watch and kids will enjoy in many different ways.

With great power comes great responsibility and we all can be heroes. This is the idea behind Spider-Man: Into the Spider-Verse - inclusion for all in the vast universe and the idea that we can all be heroes by making the right choices and doing our best helping each other in our everyday life.

Reviewed by Zoe C., KIDS FIRST! Film Critic. For more reviews by youth, visit kidsfirst dot org.",Spider-Man: Into the Spider-Verse
